"date","site","who","transect","segment","round","vial_number","specimen_number","gross_ID","plant","insect_order","insect_family","insect_subfamily","insect_genus","insect_species","fine_ID","pollen","notes","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","year","date.site"
2021-06-09,"Stupid Falls","BB","T2",4,2,"BB3",70083,"Small black solitary bee","Mertensia fusiformis","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","TL","T1",1,2,"TL2",70084,"Small black solitary bee","Boechera stricta","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","TL","T2",2,2,"TL3",70085,"Small black solitary bee","Taraxacum officinale","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","TL","T1",2,2,"TL4",70086,"Small black solitary bee","Taraxacum officinale","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","TL","T1",2,2,"TL5",70087,"Small black solitary bee","Taraxacum officinale","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","TL","T1",3,2,"TL6",70088,"Small black solitary bee","Mertensia fusiformis","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","TL","T3",1,3,"TL7",70089,"Syrphidae","Taraxacum officinale","Diptera","Syrphidae","Eristalinae","Hiatomyia","","Hiatomyia","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","TL","T1",4,3,"TL8",70090,"Small black solitary bee","Taraxacum officinale","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","TL","T2",1,3,"TL9",70091,"Small black solitary bee","Valeriana occidentalis","Hymenoptera","Andrenidae","Andreninae","Andrena","","Andrena","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","TL","T2",1,3,"TL10",70092,"Other fly","Taraxacum officinale","Diptera","Muscidae","Phaoniinae","Phaonia","","Phaonia","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","TL","T2",1,3,"TL11",70093,"Hemipteran","Valeriana occidentalis","Hemiptera","Miridae","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","MC","T2",2,3,"MC4",70094,"Other fly","Valeriana occidentalis","Diptera","Muscidae","","","","Drymeia","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","MC","T1",3,3,"MC5",70095,"Syrphidae","Taraxacum officinale","Diptera","Syrphidae","Syrphinae","Platycheirus","","Platycheirus","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","MC","T1",3,3,"MC6",70096,"Small black solitary bee","Mertensia fusiformis","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","MDS","T2",4,3,"MDS3",70097,"Small black solitary bee","Mertensia fusiformis","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Kebler Pass","AS","T2",3,1,"AS1",70098,"Small black solitary bee","Hydrophyllum capitatum","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Kebler Pass"
2021-06-09,"Kebler Pass","KA","T1",3,1,"KA1",70099,"Small black solitary bee","Hydrophyllum capitatum","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Kebler Pass"
2021-06-09,"Kebler Pass","KA","T2",4,1,"KA2",70100,"Small black solitary bee","Hydrophyllum capitatum","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Kebler Pass"
2021-06-09,"Kebler Pass","KA","T2",4,1,"KA3",70101,"Small black solitary bee","Hydrophyllum capitatum","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Kebler Pass"
2021-06-09,"Kebler Pass","KA","T1",3,2,"KA4",70102,"Small black solitary bee","Hydrophyllum capitatum","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Kebler Pass"
2021-06-09,"Kebler Pass","KA","T1",3,2,"KA5",70103,"Big megachile","Hydrophyllum capitatum","Hymenoptera","Megachilidae","Megachilinae","Anthidium","","Anthidium","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Kebler Pass"
2021-06-09,"Kebler Pass","AS","T3",5,2,"AS2",70104,"Other fly","Mertensia fusiformis","Diptera","Tephritidae","","","","Tephritidae","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Kebler Pass"
2021-06-09,"Kebler Pass","AS","T1",2,3,"AS3",70105,"Small black solitary bee","Hydrophyllum capitatum","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Kebler Pass"
2021-06-09,"Stupid Falls","MC","T3",5,1,"",NA,"Small black solitary bee","Mertensia fusiformis","Hymenoptera","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","BB","T3",3,1,"",NA,"Wasps","Valeriana occidentalis","Hymenoptera","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","MDS","T3",1,1,"",NA,"Beetles","Valeriana occidentalis","Coleoptera","Coccinellidae","","","","Coccinellidae","","lady bug",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","MC","T3",5,2,"",NA,"Small black solitary bee","Mertensia fusiformis","Hymenoptera","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","MDS","T3",1,2,"",NA,"Other fly","Mertensia fusiformis","Diptera","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","MDS","T3",2,2,"",NA,"Other fly","Taraxacum officinale","Diptera","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","TL","T3",3,3,"",NA,"Syrphidae","Valeriana occidentalis","Diptera","Syrphidae","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","MC","T2",2,3,"",NA,"Other fly","Valeriana occidentalis","Diptera","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Stupid Falls","MDS","T1",5,3,"",NA,"Bombus unknown","Taraxacum officinale","Hymenoptera","Apidae","Apinae","Bombus","","","","little bit of orange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Stupid Falls"
2021-06-09,"Kebler Pass","KA","T1",3,1,"",NA,"Small black solitary bee","Hydrophyllum capitatum","Hymenoptera","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Kebler Pass"
2021-06-09,"Kebler Pass","KA","T1",4,2,"",NA,"Small black solitary bee","Hydrophyllum capitatum","Hymenoptera","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Kebler Pass"
2021-06-09,"Kebler Pass","KA","T1",4,2,"",NA,"Small metallic solitary bee","Mertensia fusiformis","Hymenoptera","Megachilidae","Megachilinae","Osmia","","Osmia","","Osmia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Kebler Pass"
2021-06-09,"Kebler Pass","AS","T1",3,3,"",NA,"Other fly","Hydrophyllum capitatum","Diptera","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Kebler Pass"
2021-06-09,"Kebler Pass","KA","T3",5,3,"",NA,"Small metallic solitary bee","Viola praemorsa","Hymenoptera","Megachilidae","Megachilinae","Osmia","","Osmia","","Osmia - caught and released",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-09.Kebler Pass"
2021-06-10,"Brush Creek Hill","MC","T1",3,2,"MC1",70112,"Small black solitary bee","Ligusticum porteri","Hymenoptera","Andrenidae","Andreninae","Andrena","","Andrena","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-10.Brush Creek Hill"
2021-06-10,"Brush Creek Hill","MC","T1",3,3,"MC2",70113,"Small black solitary bee","Ligusticum porteri","Hymenoptera","Andrenidae","Andreninae","Andrena","","Andrena","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-10.Brush Creek Hill"
2021-06-10,"Brush Creek Hill","AS","T1",3,1,"",NA,"Other fly","Ligusticum porteri","Diptera","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-10.Brush Creek Hill"
2021-06-10,"Brush Creek Hill","AS","T1",1,3,"",NA,"Big solitary bee (non-megachile)","Lupinus sp.","Hymenoptera","","","","","","","Andrena?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-10.Brush Creek Hill"
2021-06-10,"Brush Creek Hill","MC","T3",5,3,"",NA,"Big solitary bee (non-megachile)","Lupinus sp.","Hymenoptera","","","","","","","Andrena?",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-10.Brush Creek Hill"
2021-06-14,"Stupid Falls","AB","T2",1,3,"AB7",70126,"Syrphidae","Taraxacum officinale","Diptera","Syrphidae","Eristalinae","Hiatomyia","","Hiatomyia","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Stupid Falls"
2021-06-14,"Rustlers Gulch","MDS","T2",4,1,"MDS1",70127,"Small black solitary bee","Pseudocymopterus montanus","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","MDS","T1",1,1,"MDS2",70128,"Small black solitary bee","Fragaria virginiana","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","MDS","T2",2,1,"MDS3",70129,"Small black solitary bee","Boechera stricta","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","MDS","T1",1,1,"MDS4",70130,"Small black solitary bee","fragaria virginiana","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","AS","T3",3,1,"AS1",70131,"Hemipteran","Pseudocymopterus montanus","Hemiptera","Thyreocoridae","","Corimelaena","","Corimelaena","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","AS","T3",3,1,"AS2",70132,"Small black solitary bee","Pseudocymopterus montanus","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","AS","T1",2,1,"AS3",70133,"Small black solitary bee","Fragaria virginiana","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","MC","T2",3,1,"MC1",70134,"Small black solitary bee","Fragaria virginiana","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","MC","T3",5,1,"MC2",70135,"Small black solitary bee","Pseudocymopterus montanus","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","MC","T3",5,1,"MC3",70136,"Small black solitary bee","Pseudocymopterus montanus","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","MC","T3",5,1,"MC4",70137,"Bombyliidae","Pseudocymopterus montanus","Diptera","Bombyliidae","Ecliminae","Lepidophora","","Lepidophora","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","MDS","T2",1,2,"MDS5",70138,"Small black solitary bee","Fragaria virginiana","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","MDS","T3",1,2,"MDS6",70139,"Hemipteran","Pseudocymopterus montanus","Hemiptera","Thyreocoridae","","Corimelaena","","Corimelaena","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","MDS","T3",1,2,"MDS7",70140,"Small black solitary bee","Fragaria virginiana","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","MDS","T1",2,2,"MDS8",70141,"Small black solitary bee","Fragaria virginiana","Hymenoptera","Halictidae","Halictinae","Halictus","","Halictus","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","MDS","T1",2,2,"MDS9",70142,"Small black solitary bee","Fragaria virginiana","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","MDS","T1",3,2,"MDS10",70143,"Small black solitary bee","Fragaria virginiana","Hymenoptera","Halictidae","Halictinae","Halictus","","Halictus","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","MC","T2",2,2,"MC5",70144,"Small black solitary bee","Fragaria virginiana","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","MC","T3",4,2,"MC6",70145,"Small black solitary bee","Fragaria virginiana","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","larger bee in vial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","MC","T3",3,2,"MC7",70146,"Small black solitary bee","Pseudocymopterus montanus","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","AS","T3",5,2,"AS4",70147,"Syrphidae","Pseudocymopterus montanus","Diptera","Syrphidae","Eristalinae","Cheilosia","","Cheilosia","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","AS","T3",5,2,"AS5",70148,"Small black solitary bee","Taraxacum officinale","Hymenoptera","Halictidae","Halictinae","Halictus","","Halictus","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","AS","T2",4,2,"AS6",70149,"Syrphidae","Pseudocymopterus montanus","Diptera","Syrphidae","Eristalinae","Cheilosia","","Cheilosia","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","AS","T2",4,2,"AS7",70150,"Small black solitary bee","Pseudocymopterus montanus","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","AS","T2",4,2,"AS8",70151,"Syrphidae","Pseudocymopterus montanus","Diptera","Syrphidae","Eristalinae","Hiatomyia","","Hiatomyia","","maybe a syrphid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","AS","T2",3,2,"AS9",70152,"Small black solitary bee","Pseudocymopterus montanus","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","AS","T2",3,2,"AS10",70153,"Syrphidae","Pseudocymopterus montanus","Diptera","Syrphidae","Eristalinae","Hiatomyia","","Hiatomyia","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","AS","T2",3,2,"AS11",70154,"Small black solitary bee","Pseudocymopterus montanus","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","AS","T2",3,2,"AS12",70155,"Small black solitary bee","Fragaria virginiana","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","AS","T3",2,2,"AS13",70156,"Small black solitary bee","Fragaria virginiana","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","AS","T3",2,2,"AS14",70157,"Small black solitary bee","Fragaria virginiana","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","AS","T1",1,2,"AS15",70158,"Small black solitary bee","Fragaria virginiana","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","MDS","T3",1,3,"MDS11",70159,"Small black solitary bee","Fragaria virginiana","Hymenoptera","Halictidae","Halictinae","Halictus","","Halictus","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
2021-06-14,"Rustlers Gulch","MDS","T3",2,3,"MDS12",70160,"Small black solitary bee","Fragaria virginiana","Hymenoptera","Halictidae","Halictinae","Lasioglossum","","Lasioglossum","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021,"2021-06-14.Rustlers Gulch"
